id	区域编码	收费站编码	收费站名称	所属区域名称	管辖单位名称
2.01611100101009984E17	55.0	4.0	"岩脚站"	"六盘水六枝特区"	"水城营运中心"
2.01611100101009984E17	55.0	5.0	"六枝西站"	"六盘水六枝特区"	"水城营运中心"
2.01611100101009984E17	54.0	3.0	"双水站"	"六盘水"	"水城营运中心"
2.01611100101009984E17	54.0	1.0	"朱昌站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	54.0	2.0	"东关站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	60.0	1.0	"荔波东站"	"黔南州荔波县"	"都匀营运中心"
2.01611100101009984E17	61.0	1.0	"瓦寨站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	61.0	3.0	"款场站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	61.0	2.0	"桐林站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	61.0	6.0	"锦屏站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	61.0	4.0	"天柱站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	61.0	7.0	"敦寨站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	61.0	5.0	"高酿站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	61.0	8.0	"新化站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	63.0	2.0	"老凹坝站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	62.0	2.0	"织金洞南站"	"织金县"	"贵阳营运中心"
2.01611100101009984E17	62.0	6.0	"梨倭站"	"清镇"	"贵阳营运中心"
2.01611100101009984E17	62.0	4.0	"马场站"	"织金县"	"贵阳营运中心"
2.01611100101009984E17	62.0	1.0	"普翁站"	"织金县"	"贵阳营运中心"
2.01611100101009984E17	62.0	5.0	"齐伯站"	"未开通"	"贵阳营运中心"
2.01611100101009984E17	62.0	3.0	"织金站"	"织金县"	"贵阳营运中心"
2.01611100101009984E17	63.0	1.0	"以那站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	53.0	3.0	"边阳站"	"罗甸"	"贵阳营运中心"
2.01611100101009984E17	53.0	4.0	"罗甸北站"	"罗甸"	"贵阳营运中心"
2.01611100101009984E17	53.0	5.0	"罗甸站"	"罗甸"	"贵阳营运中心"
2.01611100101009984E17	53.0	6.0	"罗甸南站"	"罗甸"	"贵阳营运中心"
2.01611100101009984E17	54.0	4.0	"九洞天站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	63.0	3.0	"纳雍站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	35.0	14.0	"新寨主线站"	"黔南州独山县"	"都匀营运中心"
2.01611100101009984E17	35.0	13.0	"麻尾站"	"黔南州独山县"	"都匀营运中心"
2.01611100101009984E17	35.0	12.0	"下司站"	"黔南州独山县"	"都匀营运中心"
2.01611100101009984E17	35.0	11.0	"上司站"	"黔南州独山县"	"都匀营运中心"
2.01611100101009984E17	35.0	10.0	"独山站"	"黔南州独山县"	"都匀营运中心"
2.01611100101009984E17	35.0	9.0	"墨冲站"	"黔南州都匀市"	"都匀营运中心"
2.01611100101009984E17	40.0	15.0	"胜境关主线站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	40.0	14.0	"平关站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	40.0	13.0	"红果西站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	40.0	12.0	"红果北站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	40.0	11.0	"两河站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	40.0	10.0	"刘官站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	40.0	9.0	"英武站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	40.0	8.0	"普安站"	"六盘水"	"安顺营运中心"
2.01611100101009984E17	40.0	7.0	"沙子站"	"黔西南"	"安顺营运中心"
2.01611100101009984E17	40.0	6.0	"晴隆站"	"黔西南"	"安顺营运中心"
2.01611100101009984E17	40.0	5.0	"岗乌站"	"安顺"	"安顺营运中心"
2.01611100101009984E17	40.0	4.0	"永宁站"	"安顺"	"安顺营运中心"
2.01611100101009984E17	40.0	3.0	"关岭站"	"安顺"	"安顺营运中心"
2.01611100101009984E17	10.0	1.0	"大龙主道站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	10.0	2.0	"大龙匝道站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	10.0	3.0	"玉屏站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	10.0	4.0	"岑巩站"	"黔东南州"	"铜仁营运中心"
2.01611100101009984E17	10.0	5.0	"青溪站"	"黔东南州"	"铜仁营运中心"
2.01611100101009984E17	10.0	6.0	"三穗站"	"黔东南州"	"铜仁营运中心"
2.01611100101009984E17	10.0	7.0	"台烈站"	"黔东南州"	"铜仁营运中心"
2.01611100101009984E17	10.0	8.0	"岑松站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	10.0	9.0	"剑河站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	10.0	10.0	"台江站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	15.0	1.0	"松坎主线站"	"桐梓县"	"遵义营运中心"
2.01611100101009984E17	15.0	2.0	"三元站(崇)"	"桐梓县"	"遵义营运中心"
2.01611100101009984E17	15.0	3.0	"太白站"	"桐梓县"	"遵义营运中心"
2.01611100101009984E17	15.0	4.0	"楚米站"	"桐梓县"	"遵义营运中心"
2.01611100101009984E17	15.0	5.0	"桐梓站"	"桐梓县"	"遵义营运中心"
2.01611100101009984E17	15.0	6.0	"观坝站"	"遵义市"	"遵义营运中心"
2.01611100101009984E17	15.0	7.0	"遵义北站"	"遵义市"	"遵义营运中心"
2.01611100101009984E17	15.0	8.0	"遵义站"	"遵义市"	"遵义营运中心"
2.01611100101009984E17	20.0	1.0	"凯里东站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	20.0	2.0	"凯里西站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	20.0	3.0	"下司站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	20.0	4.0	"麻江站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	25.0	1.0	"遵义南站"	"遵义市"	"遵义营运中心"
2.01611100101009984E17	25.0	2.0	"马家湾站"	"遵义县"	"遵义营运中心"
2.01611100101009984E17	25.0	3.0	"南白站"	"遵义县"	"遵义营运中心"
2.01611100101009984E17	25.0	4.0	"三合站"	"遵义县"	"遵义营运中心"
2.01611100101009984E17	25.0	5.0	"乌江站"	"遵义县"	"遵义营运中心"
2.01611100101009984E17	25.0	6.0	"小寨坝站"	"贵阳"	"贵阳营运中心"
2.01611100101009984E17	25.0	7.0	"息烽站"	"贵阳"	"贵阳营运中心"
2.01611100101009984E17	25.0	8.0	"久长站"	"贵阳"	"贵阳营运中心"
2.01611100101009984E17	25.0	9.0	"扎佐站"	"贵阳"	"贵阳营运中心"
2.01611100101009984E17	25.0	10.0	"三元站"	"贵阳"	"贵阳营运中心"
2.01611100101009984E17	25.0	11.0	"沙文"	"贵阳"	"贵阳营运中心"
2.01611100101009984E17	25.0	12.0	"贵阳北主线站"	"贵阳"	"贵阳营运中心"
2.01611100101009984E17	25.0	13.0	"毕扎"	"贵阳"	"贵阳营运中心"
2.01611100101009984E17	30.0	1.0	"清镇站"	"清镇"	"贵阳营运中心"
2.01611100101009984E17	30.0	2.0	"夏云站"	"平坝"	"安顺营运中心"
2.01611100101009984E17	30.0	3.0	"平坝站"	"平坝"	"安顺营运中心"
2.01611100101009984E17	30.0	4.0	"天龙站"	"平坝"	"安顺营运中心"
2.01611100101009984E17	30.0	5.0	"安顺东站"	"安顺"	"安顺营运中心"
2.01611100101009984E17	30.0	6.0	"安顺南站"	"安顺"	"安顺营运中心"
2.01611100101009984E17	30.0	7.0	"安顺西站"	"镇宁"	"安顺营运中心"
2.01611100101009984E17	36.0	1.0	"普定站"	"安顺"	"普定分中心"
2.01611100101009984E17	35.0	2.0	"龙里站"	"龙里县"	"贵阳营运中心"
2.01611100101009984E17	35.0	3.0	"盘江站"	"黔南州贵定县"	"都匀营运中心"
2.01611100101009984E17	35.0	4.0	"贵定站"	"黔南州贵定县"	"都匀营运中心"
2.01611100101009984E17	35.0	5.0	"黄丝站"	"黔南州福泉市"	"都匀营运中心"
2.01611100101009984E17	35.0	6.0	"马场坪站"	"黔南州福泉市"	"都匀营运中心"
2.01611100101009984E17	35.0	7.0	"都匀北站"	"黔南州都匀市"	"都匀营运中心"
2.01611100101009984E17	35.0	8.0	"都匀南站"	"黔南州都匀市"	"都匀营运中心"
2.01611100101009984E17	40.0	1.0	"镇宁站"	"镇宁"	"安顺营运中心"
2.01611100101009984E17	40.0	2.0	"黄果树站"	"黄果树"	"安顺营运中心"
2.01611100101009984E17	42.0	1.0	"金华主线站"	"贵阳"	"金关公司"
2.01611100101009984E17	42.0	2.0	"林东站"	"贵阳"	"金关公司"
2.01611100101009984E17	42.0	3.0	"东门桥"	"贵阳"	"金关公司"
2.01611100101009984E17	80.0	2.0	"新添寨站"	"贵阳"	"城发公司"
2.01611100101009984E17	80.0	3.0	"奶牛场站"	"贵阳"	"城发公司"
2.01611100101009984E17	81.0	1.0	"贵阳东"	"贵阳"	"云关公司"
2.01611100101009984E17	81.0	2.0	"机场站"	"贵阳"	"云关公司"
2.01611100101009984E17	81.0	3.0	"大坡东站"	"贵阳"	"云关公司"
2.01611100101009984E17	82.0	1.0	"曹关站"	"贵阳"	"城发公司"
2.01611100101009984E17	82.0	2.0	"上麦站"	"贵阳"	"城发公司"
2.01611100101009984E17	82.0	3.0	"王宽站"	"贵阳"	"城发公司"
2.01611100101009984E17	83.0	1.0	"石板哨站"	"贵阳"	"城发公司"
2.01611100101009984E17	83.0	2.0	"党武站"	"贵阳"	"城发公司"
2.01611100101009984E17	83.0	3.0	"桐木岭站"	"贵阳"	"城发公司"
2.01611100101009984E17	83.0	4.0	"孟关站"	"贵阳"	"城发公司"
2.01611100101009984E17	83.0	5.0	"牛郎关站"	"贵阳"	"城发公司"
2.01611100101009984E17	18.0	3.0	"都匀西站"	"黔南州"	"贵都公司"
2.01611100101009984E17	18.0	2.0	"贵定南站"	"黔南州"	"贵都公司"
2.01611100101009984E17	18.0	1.0	"贵龙站"	"黔南州"	"贵都公司"
2.01611100101009984E17	22.0	4.0	"榕江站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	22.0	1.0	"都匀东站"	"黔南州都匀市"	"都匀营运中心"
2.01611100101009984E17	41.0	2.0	"小七孔站"	"黔南州荔波县"	"都匀营运中心"
2.01611100101009984E17	41.0	1.0	"秧寨站"	"黔南州荔波县"	"都匀营运中心"
2.01611100101009984E17	22.0	3.0	"三都站"	"黔南州三都县"	"都匀营运中心"
2.01611100101009984E17	22.0	9.0	"水口站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	22.0	8.0	"从江东站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	22.0	7.0	"双江站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	22.0	6.0	"从江北站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	22.0	5.0	"往洞站"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	32.0	1.0	"二铺主线站"	"贵阳"	"贵阳营运中心"
2.01611100101009984E17	32.0	2.0	"清镇东站"	"贵阳"	"贵阳营运中心"
2.01611100101009984E17	36.0	2.0	"白岩站"	"安顺"	"普定分中心"
2.01611100101009984E17	36.0	3.0	"蔡官站"	"安顺"	"普定分中心"
2.01611100101009984E17	34.0	1.0	"魏旗站"	"安顺"	"普定分中心"
2.01611100101009984E17	34.0	2.0	"幺铺站"	"安顺"	"普定分中心"
2.01611100101009984E17	26.0	1.0	"鸭溪站"	"遵义县"	"遵义营运中心"
2.01611100101009984E17	17.0	2.0	"枫香站"	"遵义县"	"遵义营运中心"
2.01611100101009984E17	17.0	5.0	"仁怀站"	"仁怀市"	"遵义营运中心"
2.01611100101009984E17	17.0	4.0	"坛厂站"	"仁怀市"	"遵义营运中心"
2.01611100101009984E17	17.0	3.0	"平正站"	"仁怀市"	"遵义营运中心"
2.01611100101009984E17	35.0	15.0	"中铁生态城站"	"龙里县"	"贵阳营运中心"
2.01611100101009984E17	26.0	2.0	"泮水站"	"遵义县"	"遵义营运中心"
2.01611100101009984E17	26.0	3.0	"金沙站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	21.0	4.0	"永从"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	21.0	3.0	"中潮"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	21.0	2.0	"黎平南"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	21.0	1.0	"黎平北"	"黔东南州"	"凯里营运中心"
2.01611100101009984E17	83.0	6.0	"大学城站"	"贵阳"	"城发公司"
2.01611100101009984E17	11.0	4.0	"大龙匝道站(铜大)"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	11.0	3.0	"七里冲站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	11.0	2.0	"万山站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	11.0	1.0	"铜仁南站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	44.0	9.0	"乌沙站"	"兴义市"	"兴关 营运中心"
2.01611100101009984E17	44.0	8.0	"兴义西站"	"兴义市"	"兴关营运中心"
2.01611100101009984E17	44.0	7.0	"兴义东站"	"兴义市"	"兴关营运中心"
2.01611100101009984E17	44.0	6.0	"万屯站"	"兴义市"	"兴关营运中心"
2.01611100101009984E17	44.0	5.0	"鲁屯站"	"兴义市"	"兴关营运中心"
2.01611100101009984E17	44.0	4.0	"德卧站"	"安龙县"	"兴关营运中心"
2.01611100101009984E17	44.0	3.0	"安龙站"	"安龙县"	"兴关营运中心"
2.01611100101009984E17	44.0	2.0	"巧马站"	"册亨县"	"兴关营运中心"
2.01611100101009984E17	44.0	1.0	"板坝主线站"	"册亨县"	"兴关营运中心"
2.01611100101009984E17	46.0	14.0	"兴仁东站"	"兴仁县"	"兴关营运中心"
2.01611100101009984E17	45.0	4.0	"雨樟站"	"兴义"	"公路局"
2.01611100101009984E17	45.0	3.0	"潘家庄站"	"兴义"	"公路局"
2.01611100101009984E17	45.0	2.0	"大厂站"	"兴义"	"公路局"
2.01611100101009984E17	45.0	1.0	"江西坡厂"	"兴义"	"公路局"
2.01611100101009984E17	26.0	9.0	"毕节东站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	26.0	8.0	"响水站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	26.0	7.0	"大方站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	26.0	6.0	"百里杜鹃站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	26.0	5.0	"雨冲站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	26.0	4.0	"金沙西站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	17.0	6.0	"茅台站"	"仁怀市"	"遵义营运中心"
2.01611100101009984E17	44.0	10.0	"岔江主线站"	"兴义市"	"兴关营运中心"
2.01611100101009984E17	18.0	4.0	"秦棋"	"贵阳"	"贵阳水交公司公司"
2.01611100101009984E17	12.0	8.0	"梵净山西站"	"铜仁"	"公路局"
2.01611100101009984E17	12.0	7.0	"闵孝站"	"铜仁"	"公路局"
2.01611100101009984E17	12.0	6.0	"梵净山东站"	"铜仁"	"公路局"
2.01611100101009984E17	12.0	5.0	"江口站"	"铜仁"	"公路局"
2.01611100101009984E17	12.0	4.0	"坝盘站"	"铜仁"	"公路局"
2.01611100101009984E17	13.0	9.0	"深溪站"	"遵义"	"公路局"
2.01611100101009984E17	13.0	8.0	"虾子站"	"遵义"	"公路局"
2.01611100101009984E17	13.0	7.0	"湄潭站"	"遵义"	"公路局"
2.01611100101009984E17	46.0	11.0	"贞丰站"	"贞丰县"	"兴关营运中心"
2.01611100101009984E17	46.0	12.0	"龙场站"	"贞丰县"	"兴关营运中心"
2.01611100101009984E17	46.0	13.0	"巴铃站"	"兴仁县"	"兴关营运中心"
2.01611100101009984E17	46.0	15.0	"兴仁北站"	"兴仁县"	"兴关营运中心"
2.01611100101009984E17	13.0	5.0	"凤岗"	"遵义"	"公路局"
2.01611100101009984E17	13.0	6.0	"永兴"	"遵义"	"公路局"
2.01611100101009984E17	13.0	2.0	"合兴站"	"遵义"	"公路局"
2.01611100101009984E17	12.0	2.0	"松桃苗王城站"	"铜仁"	"公路局"
2.01611100101009984E17	12.0	3.0	"铜仁北站"	"铜仁"	"公路局"
2.01611100101009984E17	47.0	1.0	"发窝站"	"六盘水水城县"	"水城营运中心"
2.01611100101009984E17	47.0	6.0	"滑石站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	47.0	2.0	"发耳站"	"六盘水水城县"	"水城营运中心"
2.01611100101009984E17	47.0	3.0	"营盘站"	"六盘水水城县"	"水城营运中心"
2.01611100101009984E17	47.0	4.0	"雨格站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	47.0	5.0	"鸡场坪站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	13.0	3.0	"煎茶站"	"铜仁"	"公路局"
2.01611100101009984E17	46.0	7.0	"乐纪站"	"镇宁县"	"贵阳营运中心"
2.01611100101009984E17	46.0	6.0	"紫云站"	"安顺市"	"贵阳营运中心"
2.01611100101009984E17	46.0	5.0	"板当站"	"紫云县"	"贵阳营运中心"
2.01611100101009984E17	46.0	4.0	"摆所站"	"长顺县"	"贵阳营运中心"
2.01611100101009984E17	46.0	3.0	"长顺西站"	"长顺县"	"贵阳营运中心"
2.01611100101009984E17	46.0	2.0	"长顺东站"	"长顺县"	"贵阳营运中心"
2.01611100101009984E17	48.0	4.0	"惠水站"	"都匀"	"贵惠公司"
2.01611100101009984E17	48.0	3.0	"惠水北站"	"都匀"	"贵惠公司"
2.01611100101009984E17	48.0	2.0	"青岩站"	"贵阳"	"贵惠公司"
2.01611100101009984E17	48.0	1.0	"贵阳南站"	"贵阳"	"贵惠公司"
2.01611100101009984E17	49.0	1.0	"仁怀北站"	"遵义"	"公路局"
2.01611100101009984E17	49.0	4.0	"火石岗站"	"遵义"	"公路局"
2.01611100101009984E17	49.0	3.0	"大坝站"	"遵义"	"公路局"
2.01611100101009984E17	39.0	1.0	"新蒲站"	"遵义市"	"青檬线"
2.01611100101009984E17	39.0	2.0	"团泽站"	"遵义市"	"青檬线"
2.01611100101009984E17	27.0	1.0	"绥阳站"	"遵义市"	"汇川营运分中心"
2.01611100101009984E17	27.0	2.0	"牛心站"	"遵义市"	"汇川营运分中心"
2.01611100101009984E17	27.0	3.0	"蒲场站"	"遵义市"	"汇川营运分中心"
2.01611100101009984E17	27.0	4.0	"四面山站"	"遵义市"	"汇川营运分中心"
2.01611100101009984E17	27.0	5.0	"李子垭站"	"遵义市"	"汇川营运分中心"
2.01611100101009984E17	46.0	9.0	"坝草站"	"镇宁县"	"兴关营运中心"
2.01611100101009984E17	46.0	8.0	"乐运站"	"镇宁县"	"兴关营运中心"
2.01611100101009984E17	46.0	10.0	"白层站"	"贞丰县"	"兴关营运中心"
2.01611100101009984E17	35.0	16.0	"龙里西站"	"龙里县"	"贵阳营运中心"
2.01611100101009984E17	12.0	1.0	"铜仁大兴站"	"铜仁"	"公路局"
2.01611100101009984E17	16.0	1.0	"思南西站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	16.0	3.0	"塘头站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	16.0	2.0	"思南南站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	16.0	4.0	"石阡北站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	16.0	5.0	"石阡站"	"铜仁"	"铜仁营运中心"
2.01611100101009984E17	16.0	6.0	"大地站"	"黔东南州"	"铜仁营运中心"
2.01611100101009984E17	16.0	7.0	"羊场站"	"黔东南州"	"铜仁营运中心"
2.01611100101009984E17	16.0	9.0	"金堡站"	"黔东南州"	"铜仁营运中心"
2.01611100101009984E17	16.0	8.0	"镇远南站"	"黔东南州"	"铜仁营运中心"
2.01611100101009984E17	49.0	8.0	"土城站"	"遵义"	"公路局"
2.01611100101009984E17	49.0	7.0	"马临站"	"遵义"	"公路局"
2.01611100101009984E17	49.0	6.0	"习水站"	"遵义"	"公路局"
2.01611100101009984E17	49.0	5.0	"二郎站"	"遵义"	"公路局"
2.01611100101009984E17	49.0	2.0	"银水站"	"遵义"	"公路局"
2.01611100101009984E17	49.0	9.0	"元厚站"	"遵义"	"公路局"
2.01611100101009984E17	49.0	10.0	"旺隆站"	"遵义"	"公路局"
2.01611100101009984E17	49.0	11.0	"新店站"	"遵义"	"公路局"
2.01611100101009984E17	49.0	12.0	"赤水主线站"	"遵义"	"公路局"
2.01611100101009984E17	12.0	10.0	"思南东站"	"铜仁"	"公路局"
2.01611100101009984E17	12.0	9.0	"印江站"	"铜仁"	"公路局"
2.01611100101009984E17	13.0	4.0	"花坪站"	"遵义"	"公路局"
2.01611100101009984E17	13.0	1.0	"温泉站"	"遵义"	"公路局"
2.01611100101009984E17	50.0	1.0	"六枝东站"	"六枝"	"水城营运中心"
2.01611100101009984E17	50.0	3.0	"丁旗站"	"镇宁"	"安顺营运中心"
2.01611100101009984E17	50.0	2.0	"落别站"	"六枝"	"水城营运中心"
2.01611100101009984E17	80.0	1.0	"笋子林站"	"贵阳"	"城发公司"
2.01611100101009984E17	26.0	10.0	"马蹄"	"遵义县"	"遵义营运中心"
2.01611100101009984E17	40.0	16.0	"盘州站"	"六盘水盘县"	"水城营运中心"
2.01611100101009984E17	83.0	7.0	"天河潭站"	"贵阳"	"城发公司"
2.01611100101009984E17	53.0	200.0	"惠罗虚拟站"	"惠罗虚拟站"	"惠罗虚拟分中心"
2.01611100101009984E17	56.0	1.0	"毕节站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	56.0	2.0	"毕节北站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	56.0	3.0	"燕子口站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	56.0	4.0	"林口站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	56.0	5.0	"生机主线站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	56.0	100.0	"虚拟站"	"毕节"	"毕生毕都织纳虚拟"
2.01611100101009984E17	71.0	1.0	"西江站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	71.0	2.0	"黄里站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	71.0	3.0	"雷山主线站"	"黔东南州"	"凯里营运分中心"
2.01611100101009984E17	54.0	7.0	"三岔河站"	"六盘水"	"水城营运中心"
2.01611100101009984E17	54.0	8.0	"老鹰山站"	"六盘水"	"水城营运中心"
2.01611100101009984E17	54.0	9.0	"红桥站"	"六盘水"	"水城营运中心"
2.01611100101009984E17	54.0	10.0	"玉舍站"	"六盘水"	"水城营运中心"
2.01611100101009984E17	54.0	11.0	"俄脚站"	"六盘水"	"水城营运中心"
2.01611100101009984E17	54.0	5.0	"巴雍站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	54.0	6.0	"以角站"	"毕节"	"毕节营运中心"
2.01611100101009984E17	16.0	10.0	"镇远西站"	"黔东南州"	"铜仁营运中心"
2.01611100101009984E17	80.0	200.0	"虚拟站"	"虚拟"	"东北绕尖小虚拟业主"
